"Bovec";"Ostali nastanitveni objekti";"TUJI";10419;21551;10287;22285;9238;22301;11764;27934;11225;28307;11625;28254;12841;32688;21667;51356
"Cerklje na Gorenjskem";"Skupine nastanitvenih objektov - SKUPAJ";"DOMAÈI";4404;12699;3530;10702;3316;9608;3083;7848;3776;8962;3895;8777;3695;9324;4118;10010
"Cerklje na Gorenjskem";"Skupine nastanitvenih objektov - SKUPAJ";"TUJI";16466;26872;13284;24906;15213;26036;16977;29295;18290;33997;24522;43994;22883;42004;22654;43164
"Cerklje na Gorenjskem";"Hoteli in podobni nastanitveni objekti";"DOMAÈI";2705;6266;2074;5173;2150;4906;1988;4239;1920;4074;2116;3585;2247;5338;2656;5950
"Cerklje na Gorenjskem";"Hoteli in podobni nastanitveni objekti";"TUJI";15607;24736;12326;21680;13880;22982;15090;25258;15790;28385;17167;29121;17869;31627;17605;32820
"Cerklje na Gorenjskem";"Kampi";"DOMAÈI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Cerklje na Gorenjskem";"Kampi";"TUJI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Cerklje na Gorenjskem";"Ostali nastanitveni objekti";"DOMAÈI";1699;6433;1456;5529;1166;4702;1095;3609;1856;4888;1779;5192;1448;3986;1462;4060
"Cerklje na Gorenjskem";"Ostali nastanitveni objekti";"TUJI";859;2136;958;3226;1333;3054;1887;4037;2500;5612;7355;14873;5014;10377;5049;10344
"Cerkno";"Skupine nastanitvenih objektov - SKUPAJ";"DOMAÈI";6020;21363;5822;19369;5732;19136;5417;17600;6995;23286;6011;18873;5310;15281;8726;26427
"Cerkno";"Skupine nastanitvenih objektov - SKUPAJ";"TUJI";5416;23432;4319;16357;4222;14684;3985;13670;4895;17102;4503;14617;3241;10806;5004;15866
"Cerkno";"Hoteli in podobni nastanitveni objekti";"DOMAÈI";z;z;z;z;z;z;z;z;z;z;z;z;z;z;z;z
"Cerkno";"Hoteli in podobni nastanitveni objekti";"TUJI";z;z;z;z;z;z;z;z;z;z;z;z;z;z;z;z
"Cerkno";"Kampi";"DOMAÈI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Cerkno";"Kampi";"TUJI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Cerkno";"Ostali nastanitveni objekti";"DOMAÈI";z;z;z;z;z;z;z;z;z;z;z;z;z;z;z;z
"Cerkno";"Ostali nastanitveni objekti";"TUJI";z;z;z;z;z;z;z;z;z;z;z;z;z;z;z;z
"Èrna na Koroškem";"Skupine nastanitvenih objektov - SKUPAJ";"DOMAÈI";1068;1199;857;947;371;478;341;395;323;471;569;1078;412;908;463;754
"Èrna na Koroškem";"Skupine nastanitvenih objektov - SKUPAJ";"TUJI";107;134;123;147;108;143;79;98;37;37;124;139;101;114;209;328
"Èrna na Koroškem";"Hoteli in podobni nastanitveni objekti";"DOMAÈI";z;z;z;z;z;z;z;z;z;z;z;z;z;z;48;49
"Èrna na Koroškem";"Hoteli in podobni nastanitveni objekti";"TUJI";-;-;-;-;-;-;-;-;z;z;z;z;z;z;19;37
"Èrna na Koroškem";"Kampi";"DOMAÈI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Èrna na Koroškem";"Kampi";"TUJI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Èrna na Koroškem";"Ostali nastanitveni objekti";"DOMAÈI";z;z;z;z;z;z;z;z;z;z;z;z;z;z;415;705
"Èrna na Koroškem";"Ostali nastanitveni objekti";"TUJI";z;z;z;z;z;z;z;z;z;z;z;z;z;z;190;291
"Gorje";"Skupine nastanitvenih objektov - SKUPAJ";"DOMAÈI";2229;8039;2480;7329;2207;6382;2426;7266;2488;6919;2437;7105;1966;5529;1759;4824
"Gorje";"Skupine nastanitvenih objektov - SKUPAJ";"TUJI";797;1517;631;1446;875;2826;1240;3959;1373;4993;1870;5242;1718;5089;3424;8739
"Gorje";"Hoteli in podobni nastanitveni objekti";"DOMAÈI";z;z;z;z;z;z;z;z;z;z;z;z;z;z;z;z
