"Skupine nastanitvenih objektov - SKUPAJ";"Brežice";"Madžarska";676;1755;579;1741;592;2100;698;2229;423;1614;620;2615;567;2192;882;3640
"Skupine nastanitvenih objektov - SKUPAJ";"Brežice";"Makedonija";372;1045;372;786;511;1232;948;1822;550;1235;802;1604;422;1254;655;1645
"Skupine nastanitvenih objektov - SKUPAJ";"Brežice";"Malta";168;745;1;1;-;-;4;4;2;4;5;8;3;3;7;28
"Skupine nastanitvenih objektov - SKUPAJ";"Brežice";"Nemèija";3334;11580;3053;10250;2862;9916;3176;11139;3848;13566;3697;13526;3405;12882;3646;14418
"Skupine nastanitvenih objektov - SKUPAJ";"Brežice";"Nizozemska";3523;29773;3954;31232;3408;24173;4014;30181;5839;47959;6527;51728;7062;56591;6635;54134
"Skupine nastanitvenih objektov - SKUPAJ";"Brežice";"Norveška";71;152;51;135;67;288;48;147;49;70;51;128;46;69;40;122
"Skupine nastanitvenih objektov - SKUPAJ";"Brežice";"Poljska";647;2802;722;3792;1139;6516;1449;7925;1428;7305;2038;11313;2221;12922;2288;13613
"Skupine nastanitvenih objektov - SKUPAJ";"Brežice";"Portugalska";31;54;16;19;29;59;120;145;26;49;52;164;45;147;29;96
"Skupine nastanitvenih objektov - SKUPAJ";"Brežice";"Romunija";200;514;180;319;134;247;189;469;178;425;225;776;190;461;309;1211
"Skupine nastanitvenih objektov - SKUPAJ";"Brežice";"Ruska federacija";291;1678;165;937;757;8937;898;7535;1656;20372;1527;17556;1929;21520;865;5281
"Skupine nastanitvenih objektov - SKUPAJ";"Brežice";"Slovaška";176;469;146;515;241;603;209;547;319;627;228;513;178;471;152;388
"Skupine nastanitvenih objektov - SKUPAJ";"Brežice";"Srbija";3128;9894;5217;16201;12021;36594;10025;29717;8779;24681;9474;26528;8869;24641;8685;23976
"Skupine nastanitvenih objektov - SKUPAJ";"Brežice";"Španija";223;421;188;301;157;313;271;594;212;539;241;597;233;661;240;728
"Skupine nastanitvenih objektov - SKUPAJ";"Brežice";"Švedska";270;689;166;451;153;421;154;349;154;461;129;368;161;488;207;664
"Skupine nastanitvenih objektov - SKUPAJ";"Brežice";"Švica";404;1086;458;1782;530;1421;558;1501;631;2370;529;1480;440;937;731;1513
"Skupine nastanitvenih objektov - SKUPAJ";"Brežice";"Turèija";46;67;71;229;18;29;59;241;61;123;88;227;68;110;163;277
"Skupine nastanitvenih objektov - SKUPAJ";"Brežice";"Ukrajina";49;156;47;122;44;147;83;236;92;180;79;238;90;232;176;1145
"Skupine nastanitvenih objektov - SKUPAJ";"Brežice";"Združeno kraljestvo";708;2154;338;1268;435;1529;399;1658;340;1553;515;2489;366;2000;506;2711
"Skupine nastanitvenih objektov - SKUPAJ";"Brežice";"Druge evropske države";280;630;224;577;183;624;181;541;232;736;128;406;281;690;214;565
"Skupine nastanitvenih objektov - SKUPAJ";"Brežice";"Južna Afrika";-;-;3;5;1;1;1;1;-;-;10;18;1;1;6;9
"Skupine nastanitvenih objektov - SKUPAJ";"Brežice";"Druge afriške države";32;161;3;3;3;3;8;22;12;19;5;7;53;460;78;613
"Skupine nastanitvenih objektov - SKUPAJ";"Brežice";"Avstralija";116;240;106;230;49;76;92;185;59;109;77;196;84;162;110;190
"Skupine nastanitvenih objektov - SKUPAJ";"Brežice";"Nova Zelandija";16;16;11;25;8;20;7;18;8;19;18;50;9;76;18;171
