"Jezersko";"Kampi";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;24;92;92;1;31;132;132;2;52;214;214
"Jezersko";"Ostali nastanitveni objekti";...;37;198;192;...;46;218;212;...;37;194;187;...;52;232;225;...;44;206;195;...;43;200;194;...;49;220;212;...;48;230;212
"Kamnik";"Skupine nastanitvenih objektov - SKUPAJ";...;375;1160;996;...;369;1165;984;...;378;1398;1213;...;369;1328;1146;...;365;1340;1167;...;367;1371;1340;...;406;1456;1420;...;423;1540;1496
"Kamnik";"Hoteli in podobni nastanitveni objekti";6;60;136;136;5;58;153;135;6;66;171;153;7;68;176;157;6;56;149;139;6;58;158;148;6;58;140;130;6;63;152;136
"Kamnik";"Kampi";1;100;200;200;1;100;200;200;1;100;400;400;1;100;400;400;1;100;400;400;1;100;400;400;2;140;520;520;2;140;520;520
"Kamnik";"Ostali nastanitveni objekti";...;215;824;660;...;211;812;649;...;212;827;660;...;201;752;589;...;209;791;628;...;209;813;792;...;208;796;770;...;220;868;840
"Kobarid";"Skupine nastanitvenih objektov - SKUPAJ";...;393;1369;1271;...;430;1528;1414;...;575;2027;1882;...;583;1968;1842;...;608;2045;1900;...;555;1986;1832;...;575;2050;1896;...;619;2303;2136
"Kobarid";"Hoteli in podobni nastanitveni objekti";6;91;212;208;7;95;228;222;7;97;236;211;6;94;242;223;6;95;242;223;7;97;248;218;7;96;239;214;6;93;230;208
"Kobarid";"Kampi";4;202;710;710;4;202;710;710;4;342;1180;1180;4;342;1030;1030;4;348;1025;1022;4;308;1005;1002;4;318;1045;1042;5;357;1250;1250
"Kobarid";"Ostali nastanitveni objekti";...;100;447;353;...;133;590;482;...;136;611;491;...;147;696;589;...;165;778;655;...;150;733;612;...;161;766;640;...;169;823;678
"Kranjska Gora";"Skupine nastanitvenih objektov - SKUPAJ";...;1877;5873;5336;...;1787;5639;5174;...;1888;6023;5495;...;1774;5668;5179;...;1813;5829;5271;...;1778;5754;5169;...;1780;5797;5249;...;1820;5927;5352
"Kranjska Gora";"Hoteli in podobni nastanitveni objekti";24;867;1945;1817;25;882;1946;1847;23;855;1898;1836;22;840;1885;1806;24;884;2016;1905;23;858;1914;1815;22;860;1911;1813;23;871;1953;1843
"Kranjska Gora";"Kampi";1;50;120;120;1;50;120;120;2;150;320;320;2;150;320;320;2;100;220;220;2;100;220;220;2;100;220;220;2;120;275;270
"Kranjska Gora";"Ostali nastanitveni objekti";...;960;3808;3399;...;855;3573;3207;...;883;3805;3339;...;784;3463;3053;...;829;3593;3146;...;820;3620;3134;...;820;3666;3216;...;829;3699;3239
"Ljubno";"Skupine nastanitvenih objektov - SKUPAJ";...;50;162;141;...;50;165;140;...;53;179;155;...;54;181;154;...;54;185;154;...;66;215;182;...;68;228;190;...;101;360;274
"Ljubno";"Hoteli in podobni nastanitveni objekti";2;15;34;34;2;15;34;34;2;15;37;37;2;16;37;37;2;16;37;37;3;28;67;65;3;28;67;65;3;28;67;65
"Ljubno";"Kampi";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Ljubno";"Ostali nastanitveni objekti";...;35;128;107;...;35;131;106;...;38;142;118;...;38;144;117;...;38;148;117;...;38;148;117;...;40;161;125;...;73;293;209
"Lovrenc na Pohorju";"Skupine nastanitvenih objektov - SKUPAJ";...;3;7;7;...;7;23;23;...;7;23;23;...;7;23;23;...;9;30;30;...;9;32;29;...;10;36;35;...;10;36;36
"Lovrenc na Pohorju";"Hoteli in podobni nastanitveni objekti";1;3;7;7;1;3;7;7;1;3;7;7;1;3;7;7;1;3;7;7;-;-;-;-;-;-;-;-;-;-;-;-
"Lovrenc na Pohorju";"Kampi";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Lovrenc na Pohorju";"Ostali nastanitveni objekti";-;-;-;-;...;4;16;16;...;4;16;16;...;4;16;16;...;6;23;23;...;9;32;29;...;10;36;35;...;10;36;36
"Luèe";"Skupine nastanitvenih objektov - SKUPAJ";...;64;271;256;...;67;284;269;...;54;190;170;...;63;283;230;...;63;214;188;...;95;353;333;...;107;396;383;...;107;392;382
"Luèe";"Hoteli in podobni nastanitveni objekti";2;16;33;33;2;15;32;32;2;15;32;32;2;16;34;34;4;28;62;59;2;18;36;36;3;24;55;53;3;26;50;48
"Luèe";"Kampi";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;40;160;160;1;40;160;160;1;40;160;160
"Luèe";"Ostali nastanitveni objekti";...;48;238;223;...;52;252;237;...;39;158;138;...;47;249;196;...;35;152;129;...;37;157;137;...;43;181;170;...;41;182;174
"Mežica";"Skupine nastanitvenih objektov - SKUPAJ";...;13;67;67;...;15;75;71;...;15;75;71;...;13;67;67;...;13;67;67;...;13;67;67;...;13;67;67;...;13;67;67
"Mežica";"Hoteli in podobni nastanitveni objekti";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Mežica";"Kampi";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Mežica";"Ostali nastanitveni objekti";...;13;67;67;...;15;75;71;...;15;75;71;...;13;67;67;...;13;67;67;...;13;67;67;...;13;67;67;...;13;67;67
"Mislinja";"Skupine nastanitvenih objektov - SKUPAJ";...;155;517;511;...;154;553;547;...;125;424;418;...;118;407;407;...;118;408;408;...;124;430;430;...;118;408;407;...;125;420;420
"Mislinja";"Hoteli in podobni nastanitveni objekti";1;54;190;190;1;54;190;190;1;54;190;190;1;54;190;190;1;54;190;190;1;54;190;190;1;54;190;190;2;61;203;203
"Mislinja";"Kampi";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Mislinja";"Ostali nastanitveni objekti";...;101;327;321;...;100;363;357;...;71;234;228;...;64;217;217;...;64;218;218;...;70;240;240;...;64;218;217;...;64;217;217
"Mozirje";"Skupine nastanitvenih objektov - SKUPAJ";...;113;328;317;...;111;348;317;...;109;326;312;...;93;281;266;...;132;370;343;...;129;351;325;...;98;260;248;...;106;288;276
"Mozirje";"Hoteli in podobni nastanitveni objekti";2;71;177;177;2;63;177;163;1;54;106;106;1;54;116;116;2;90;215;201;2;90;215;201;1;54;114;114;2;70;157;157
"Mozirje";"Kampi";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
