"Prenoèitvene zmogljivosti po: OBÈINE, SKUPINE NASTANITVENIH OBJEKTOV,"
"LETO , MERITVE"

"ZDRAVILIŠKE OBÈINE"
" ";"Hoteli in podobni nastanitveni objekti"
" ";" ";"2008"
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";11
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";8
" ";" ";"2014"
" ";" ";" ";"Število objektov";...
" ";" ";" ";"Število sob";-
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";-
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";-
" ";" ";"2015"
" ";" ";" ";"Število objektov";...
" ";" ";" ";"Število sob";-
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";-
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";-
" ";" ";"2016"
" ";" ";" ";"Število objektov";...
" ";" ";" ";"Število sob";-
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";-
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";-
"Dolenjske Toplice"
" ";"Hoteli in podobni nastanitveni objekti"
" ";" ";"2008"
" ";" ";" ";"Število objektov";5
" ";" ";" ";"Število sob";255
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";509
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";444
" ";" ";"2009"
" ";" ";" ";"Število objektov";5
" ";" ";" ";"Število sob";245
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";516
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";436
" ";" ";"2010"
" ";" ";" ";"Število objektov";6
" ";" ";" ";"Število sob";248
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";512
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";432
" ";" ";"2011"
" ";" ";" ";"Število objektov";6
" ";" ";" ";"Število sob";249
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";516
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";434
" ";" ";"2012"
" ";" ";" ";"Število objektov";6
" ";" ";" ";"Število sob";249
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";513
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";434
" ";" ";"2013"
" ";" ";" ";"Število objektov";6
" ";" ";" ";"Število sob";249
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";513
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";434
" ";" ";"2014"
" ";" ";" ";"Število objektov";6
" ";" ";" ";"Število sob";249
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";511
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";434
" ";" ";"2015"
" ";" ";" ";"Število objektov";6
" ";" ";" ";"Število sob";249
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";511
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";434
" ";" ";"2016"
" ";" ";" ";"Število objektov";7
" ";" ";" ";"Število sob";259
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";529
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";454
" ";"Kampi"
" ";" ";"2008"
" ";" ";" ";"Število objektov";1
" ";" ";" ";"Število sob";30
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";120
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";120
" ";" ";"2009"
" ";" ";" ";"Število objektov";1
" ";" ";" ";"Število sob";30
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";120
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";120
" ";" ";"2010"
" ";" ";" ";"Število objektov";1
" ";" ";" ";"Število sob";30
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";120
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";120
